Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Attack Name,Label
192.168.137.174-52.33.155.26-46488-443-6,192.168.137.174,46488,52.33.155.26,443,6,01/09/2023 01:35:31 PM,1415686,43,25,45159.0,6094.0,1448.0,0.0,1050.2093023255811,636.9218969140167,1448.0,0.0,243.76,532.5666061630226,36203.64967937805,48.03325031115657,21129.64179104478,42295.123743116055,181369.0,0.0,678300.0,16150.0,36271.57887853055,123284.0,0.0,556017.0,23167.375000000004,40274.82451079086,96984.0,0.0,0,0,0,0,1384,808,30.37396710852548,17.65928320263109,0.0,1448.0,742.7971014492754,714.2094267689222,510095.1052855925,2,2,0,8,67,0,0,0,0.0,753.7205882352941,1050.2093023255811,243.76,0,0,0,51253,41,42593,0,0,0,0,29200,853,35,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS ICMP Flood,1
192.168.137.250-34.122.121.32-53298-80-6,192.168.137.250,53298,34.122.121.32,80,6,01/09/2023 01:36:14 PM,997485,5,4,87.0,148.0,87.0,0.0,17.4,38.90758280849634,148.0,0.0,37.0,74.0,235.5925151756668,9.022692070557452,124685.625,185412.97026440155,551880.0,0.0,261057.0,65264.25,87811.84990791391,185733.0,0.0,184548.0,61516.0,66795.1570699553,132752.0,292.0,0,0,0,0,168,136,5.012606705865252,4.010085364692201,0.0,148.0,23.5,51.5864969412216,2661.166666666666,2,2,0,2,8,0,0,0,0.0,26.11111111111111,17.4,37.0,0,0,0,0,0,0,0,0,0,0,64240,502,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS ICMP Flood,1
192.168.137.174-35.224.21.224-51040-443-6,192.168.137.174,51040,35.224.21.224,443,6,01/09/2023 01:36:48 PM,327907,15,0,5429.0,0.0,1408.0,0.0,361.9333333333334,561.3164967501041,0.0,0.0,0.0,0.0,16556.5236484735,45.744677606760455,23421.92857142857,30675.604748510064,72988.0,0.0,327907.0,23421.92857142857,30675.604748510064,72988.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,476,0,45.744677606760455,0.0,0.0,1408.0,339.3125,549.7802856596442,302258.3625,1,1,1,5,13,0,0,0,0.0,361.9333333333333,361.9333333333333,0.0,0,0,0,5429,7,28269,0,0,0,0,29200,0,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS ICMP Flood,1
192.168.137.174-35.224.21.224-51040-443-6,192.168.137.174,51040,35.224.21.224,443,6,01/09/2023 01:36:49 PM,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9724.599889265248,9190.334638744507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS ICMP Flood,1
192.168.137.174-34.173.20.6-35812-443-6,192.168.137.174,35812,34.173.20.6,443,6,01/09/2023 01:35:23 PM,86263581,14,11,600.0,310.0,524.0,0.0,42.85714285714285,139.2677869556219,165.0,0.0,28.18181818181818,48.94449546541098,10.549063572957865,0.2898094388175237,3594315.8750000005,5888023.096378652,14277971.0,0.0,85527262.0,6579020.153846154,7466432.043273725,15054125.0,0.0,85476839.0,8547683.9,7474096.464052977,15066328.0,2.0,0,0,0,0,448,352,0.1622932857378132,0.1275161530797104,0.0,524.0,35.00000000000001,105.58371086488673,11147.92,2,0,0,8,25,0,0,0,0.0,36.4,42.85714285714285,28.181818181818183,0,0,0,823,5,948,2,100,1,51,361,331,3,32,800863.3333333333,32909.61858585825,868018.0,786479.0,13453680.333333332,1862604.1945498425,14277971.0,9657926.0,DoS ICMP Flood,1
34.173.20.6-192.168.137.174-443-35812-6,34.173.20.6,443,192.168.137.174,35812,6,01/09/2023 01:36:49 PM,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9724.599889265248,9190.334638744507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,52,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,331,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS ICMP Flood,1
192.168.137.174-13.225.193.148-44990-443-6,192.168.137.174,44990,13.225.193.148,443,6,01/09/2023 01:35:13 PM,112329177,974,634,1336398.0,13698.0,1428.0,0.0,1372.071868583164,262.7196696859141,761.0,0.0,21.60567823343847,126.49250157020651,12019.10346053724,14.315069716926708,69899.9234598631,1269127.806646555,29324779.0,0.0,111595271.0,114691.95375128467,1676431.342703821,30081624.0,0.0,111923158.0,176813.8357030015,2078393.5434771525,30080284.0,0.0,0,0,0,0,31168,20288,8.670943970327496,5.644125746599212,0.0,1428.0,839.0901180857682,695.7422518812439,484057.2810527842,2,0,0,44,1608,0,0,0,0.0,839.6119402985074,1372.0718685831623,21.60567823343849,0,0,0,168759,121,145574,97,133639,63,1369,1419,1688,954,32,7940027.666666666,12442797.83079438,22307733.0,755505.0,29251044.33333333,94928.38817937094,29324779.0,29143936.0,DoS ICMP Flood,1
10.0.0.3-10.0.0.254-44003-1883-6,10.0.0.3,44003,10.0.0.254,1883,6,01/09/2023 01:35:13 PM,119990854,123,123,2168.0,4.0,20.0,0.0,17.6260162601626,2.3131781202767074,2.0,0.0,0.032520325203252,0.2539833268567149,18.101379626817224,2.050156256075984,489758.5877551019,500112.0452275038,1009305.0,35.0,119990787.0,983531.0409836064,127186.48953318576,1009373.0,2007.0,119990790.0,983531.0655737706,127739.18389519538,1042250.0,137.0,1,0,0,0,3936,3936,1.025078128037992,1.025078128037992,0.0,20.0,8.866396761133602,8.967101364576578,80.40890688259113,0,0,0,123,246,0,0,0,1.0,8.902439024390244,17.6260162601626,0.032520325203252,0,0,0,65,4,25,2,41,2,0,502,64,120,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS ICMP Flood,1
10.0.0.12-10.0.0.254-38083-1883-6,10.0.0.12,38083,10.0.0.254,1883,6,01/09/2023 01:35:13 PM,119990474,123,123,2303.0,4.0,21.0,0.0,18.72357723577236,2.43034374215898,2.0,0.0,0.032520325203252,0.2539833268567149,19.226526265743395,2.0501627487528715,489757.03673469386,500132.1492040987,1012053.0,9.0,119990456.0,983528.3278688528,127166.35861641784,1012071.0,2897.0,119990389.0,983527.7786885244,127781.23670933516,1045178.0,38.0,1,0,0,0,3936,3936,1.0250813743764358,1.0250813743764358,0.0,21.0,9.41700404858299,9.522341846406322,90.67499423982096,0,0,0,123,246,0,0,0,1.0,9.455284552845528,18.72357723577236,0.032520325203252,0,0,0,81,4,25,2,42,2,0,502,64,120,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS ICMP Flood,1
10.0.0.7-10.0.0.254-37873-1883-6,10.0.0.7,37873,10.0.0.254,1883,6,01/09/2023 01:35:13 PM,119990138,123,123,5404.0,4.0,46.0,0.0,43.93495934959349,5.694028850253072,2.0,0.0,0.032520325203252,0.2539833268567149,45.07037069996536,2.050168489680377,489755.6653061226,500139.4991726471,1012440.0,8.0,119990126.0,983525.6229508196,127330.61855640156,1012452.0,1263.0,119990098.0,983525.3934426226,127779.32279530104,1042225.0,63.0,1,0,0,0,3936,3936,1.0250842448401885,1.0250842448401885,0.0,46.0,22.076923076923084,22.363182800433464,500.11194496560313,0,0,0,123,246,0,0,0,1.0,22.166666666666668,43.9349593495935,0.032520325203252,0,0,0,189,4,59,2,93,2,0,502,64,120,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS ICMP Flood,1
