Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Attack Name,Label
142.251.41.42-192.168.137.210-443-46054-6,142.251.41.42,443,192.168.137.210,46054,6,06/09/2023 04:11:37 PM,509448,27,27,5674.0,15017.0,1400.0,0.0,210.14814814814807,453.5403216493803,1400.0,0.0,556.1851851851852,653.8410790820326,40614.54751024638,105.9970791915956,9612.22641509434,22145.992729751622,128415.0,0.0,338029.0,13001.115384615388,24696.84234282095,95612.0,1.0,360418.0,13862.230769230771,28548.12740101556,128415.0,0.0,0,0,0,0,872,872,52.9985395957978,52.9985395957978,0.0,1400.0,376.2,580.932213805567,337482.237037037,2,2,0,17,53,0,0,0,1.0,383.1666666666667,210.14814814814807,556.1851851851852,0,0,0,20691,26,45998,0,0,0,0,65535,199,9,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MITM ARP Spoofing,1
44.235.194.199-192.168.137.233-8883-40697-6,44.235.194.199,8883,192.168.137.233,40697,6,06/09/2023 04:11:28 PM,14653791,1,2,0.0,207.0,0.0,0.0,0.0,0.0,207.0,0.0,103.5,146.37110370561533,14.126037419258948,0.2047251799892601,7326895.5,10078154.657266602,14453227.0,200564.0,0.0,0.0,0.0,0.0,0.0,14453227.0,14453227.0,0.0,14453227.0,14453227.0,0,0,0,0,32,64,0.0682417266630867,0.1364834533261734,0.0,207.0,51.75,103.5,10712.25,1,0,0,1,3,0,0,0,2.0,69.0,0.0,103.5,0,0,0,0,0,0,1,0,2,207,27,7655,0,32,200564.0,0.0,200564.0,200564.0,14453227.0,0.0,14453227.0,14453227.0,MITM ARP Spoofing,1
34.173.20.6-192.168.137.174-443-60244-6,34.173.20.6,443,192.168.137.174,60244,6,06/09/2023 04:11:22 PM,29794372,7,2,63.0,0.0,39.0,0.0,9.0,15.968719422671311,0.0,0.0,0.0,0.0,2.1144933009495888,0.3020704715642269,3724296.5,6784869.666732799,14905725.0,1.0,29794372.0,4965728.666666666,7669951.198894805,15056767.0,1.0,15056654.0,15056654.0,0.0,15056654.0,15056654.0,0,0,0,0,224,64,0.2349437001055098,0.0671267714587171,0.0,39.0,6.3,13.744089638822937,188.9,1,0,1,2,9,0,0,0,0.0,7.0,9.0,0.0,0,0,0,0,0,0,3,31,1,0,331,295,2,32,150985.5,79.90306627407988,151042.0,150929.0,14715338.5,269247.17039274523,14905725.0,14524952.0,MITM ARP Spoofing,1
34.173.20.6-192.168.137.174-443-60244-6,34.173.20.6,443,192.168.137.174,60244,6,06/09/2023 04:11:52 PM,140607,1,3,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,8.0,13.856406460551018,170.6885147965606,28.44808579942677,46869.0,81179.48929994571,140607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,96,7.112021449856693,21.33606434957008,0.0,24.0,4.8,10.73312629199899,115.2,1,0,1,1,3,0,0,0,3.0,6.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,295,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MITM ARP Spoofing,1
3.162.3.14-192.168.137.210-443-43490-6,3.162.3.14,443,192.168.137.210,43490,6,06/09/2023 04:12:00 PM,183613,1,2,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,12.0,16.97056274847714,130.7096992043047,16.33871240053809,91806.5,129833.99741400556,183613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,64,5.446237466846029,10.89247493369206,0.0,24.0,6.0,12.0,144.0,0,0,2,1,2,0,0,0,2.0,8.0,0.0,12.0,0,0,0,0,0,0,0,0,0,0,0,174,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MITM ARP Spoofing,1
10.0.0.8-10.0.0.254-43083-1883-6,10.0.0.8,43083,10.0.0.254,1883,6,06/09/2023 04:13:11 PM,105001583,26,26,382.0,4.0,18.0,0.0,14.692307692307692,5.991789253765394,2.0,0.0,0.1538461538461538,0.543492976389406,3.676135054078185,0.4952306290468021,2058854.5686274515,2416411.170187096,5007914.0,11.0,105001545.0,4200061.8,1682826.9069363612,5007925.0,2943.0,105001483.0,4200059.32,1674694.5909819824,5007995.0,90.0,1,0,0,0,832,832,0.247615314523401,0.247615314523401,0.0,18.0,7.603773584905658,8.483784584183363,71.97460087082729,0,0,0,26,52,0,0,0,1.0,7.75,14.692307692307692,0.1538461538461538,0,0,0,0,0,0,1,17,1,0,502,64,23,32,4999160.7,5270101.082154414,14997717.0,11.0,5001857.0,2292.0990864756063,5007914.0,5000206.0,MITM ARP Spoofing,1
142.250.176.202-192.168.137.210-443-33192-6,142.250.176.202,443,192.168.137.210,33192,6,06/09/2023 04:13:03 PM,339138,7,9,5852.0,591.0,1400.0,0.0,836.0,633.2550828852462,517.0,0.0,65.66666666666667,171.01023361190994,18998.16593834958,47.178434737481496,22609.2,33190.206843499574,99348.0,0.0,103684.0,17280.666666666664,26795.044210948166,53928.0,4.0,250384.0,31298.0,44881.4807624322,114278.0,0.0,0,0,0,0,232,296,20.640565197648154,26.53786953983334,0.0,1400.0,378.9999999999999,566.1940921627494,320575.74999999994,0,2,0,5,15,0,0,0,1.0,402.6875,836.0,65.66666666666667,0,0,0,6443,7,31104,0,0,0,0,65535,199,5,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MITM ARP Spoofing,1
10.0.0.5-10.0.0.254-42951-1883-6,10.0.0.5,42951,10.0.0.254,1883,6,06/09/2023 04:13:15 PM,61045472,5,3,34.0,4.0,30.0,0.0,6.8,13.00769003320728,2.0,0.0,1.3333333333333337,1.1547005383792517,0.622486791485534,0.1310498508390598,8720781.714285715,22615703.679930087,60001579.0,55.0,61002090.0,15250522.5,29837721.796072952,60001579.0,1672.0,61045410.0,30522705.0,41691778.079868965,60003244.0,1042166.0,1,0,0,0,160,96,0.0819061567744123,0.0491436940646474,0.0,30.0,4.444444444444445,9.63212218453326,92.77777777777776,0,0,0,5,8,0,0,0,0.0,5.0,6.8,1.3333333333333333,0,0,0,0,0,0,5,34,3,4,502,64,2,32,1672.0,0.0,1672.0,1672.0,60001579.0,0.0,60001579.0,60001579.0,MITM ARP Spoofing,1
192.168.137.216-192.168.137.233-49808-6668-6,192.168.137.216,49808,192.168.137.233,6668,6,06/09/2023 04:13:05 PM,108790020,27,16,456.0,608.0,104.0,0.0,16.888888888888886,25.716402029314548,300.0,0.0,38.00000000000001,70.95538504346705,9.780308892304644,0.3952568443318606,2590238.571428572,4270596.074086952,9800896.0,4.0,108591834.0,4176609.0,4974347.693417322,9998961.0,4.0,108587829.0,7239188.6,4527374.628657742,10008146.0,46.0,0,0,0,0,876,520,0.2481845301618659,0.1470723141699946,0.0,300.0,24.181818181818187,47.68855975494602,2274.198731501057,0,2,0,25,42,0,1,2,0.0,24.74418604651163,16.88888888888889,38.0,0,0,0,0,0,0,2,41,1,55,65535,3620,13,32,208454.6363636364,12611.909088418986,246211.0,202116.0,9663009.454545451,443914.6295339597,9800896.0,8324574.0,MITM ARP Spoofing,1
74.125.202.206-192.168.137.174-8883-60738-6,74.125.202.206,8883,192.168.137.174,60738,6,06/09/2023 04:13:45 PM,60316104,2,4,62.0,62.0,31.0,31.0,31.0,0.0,31.0,0.0,15.5,17.8978583448784,2.0558357018550137,0.0994759210575006,12063220.8,26748306.857110467,59912003.0,50562.0,60114150.0,60114150.0,0.0,60114150.0,60114150.0,60206428.0,20068809.333333336,34636333.539757416,60063395.0,50562.0,1,0,0,0,64,128,0.0331586403525002,0.0663172807050004,0.0,31.0,22.142857142857142,15.126451130702264,228.80952380952377,0,0,0,4,6,0,0,0,2.0,25.83333333333333,31.0,15.5,0,0,0,0,0,0,2,62,4,62,265,316,1,32,202147.0,0.0,202147.0,202147.0,59912003.0,0.0,59912003.0,59912003.0,MITM ARP Spoofing,1
142.251.41.42-192.168.137.210-443-46046-6,142.251.41.42,443,192.168.137.210,46046,6,06/09/2023 04:12:44 PM,303254,5,3,73.0,63.0,73.0,0.0,14.6,32.64659247149693,39.0,0.0,21.0,19.672315572906,448.4689402283234,26.38052589578373,43322.0,72721.95657892234,168739.0,0.0,131698.0,32924.5,63381.36211063944,127960.0,2.0,2817.0,1408.5,1991.9198026025044,2817.0,0.0,1,0,0,0,160,96,16.48782868486483,9.892697210918898,0.0,73.0,23.22222222222222,31.427606406540804,987.6944444444446,2,0,0,3,8,0,0,0,0.0,26.125,14.6,21.0,0,0,0,0,0,0,0,0,0,0,276,174,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MITM ARP Spoofing,1
34.173.20.6-192.168.137.174-443-60246-6,34.173.20.6,443,192.168.137.174,60246,6,06/09/2023 04:11:52 PM,60257936,19,17,4157.0,1784.0,1408.0,0.0,218.7894736842105,478.9765221510652,1368.0,0.0,104.94117647058825,332.5544073133439,98.59282269475676,0.597431681032022,1721655.3142857142,4774530.689787616,14958573.0,0.0,60122331.0,3340129.500000001,6389670.8712356575,15068830.0,2.0,60129584.0,3758099.0,6691399.898991092,15088172.0,0.0,0,0,0,0,616,552,0.3153111649891227,0.2821205160428993,0.0,1408.0,160.56756756756758,409.6679916265895,167827.8633633634,2,2,0,14,35,0,0,0,0.0,165.02777777777777,218.7894736842105,104.94117647058825,0,0,0,5854,12,20690,4,1039,4,446,43648,295,9,32,193650.0,99224.24124846372,341666.0,129599.0,14820403.0,209272.2248667192,14958573.0,14508847.0,MITM ARP Spoofing,1
192.168.137.216-192.168.137.233-49806-6668-6,192.168.137.216,49806,192.168.137.233,6668,6,06/09/2023 04:11:14 PM,111030567,28,10,528.0,252.0,72.0,0.0,18.857142857142858,16.46930767330841,28.0,0.0,25.2,8.854377448471462,7.025092468455106,0.3422480946170436,3000826.135135136,4199226.822739416,9801291.0,4001.0,110828327.0,4104752.851851851,4590271.142626006,9999072.0,4001.0,110827747.0,12314194.111111112,6940007.929794307,30820881.0,9996571.0,1,0,0,0,896,308,0.2521828065599268,0.0900652880571167,0.0,72.0,20.615384615384617,14.81218450184169,219.4008097165992,0,0,1,28,37,0,0,0,0.0,21.157894736842103,18.857142857142858,25.2,0,0,0,120,5,84,2,37,0,18,2048,0,18,32,944456.9,2344552.777653268,7617170.0,201423.0,9216705.272727272,1293690.5262533308,9801291.0,6599072.0,MITM ARP Spoofing,1
