Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Attack Name,Label
192.168.137.48-192.168.137.250-45081-1883-6,192.168.137.48,45081,192.168.137.250,1883,6,28/08/2023 11:46:22 AM,8109,5,1,34.0,0.0,18.0,0.0,6.8,9.338094023943002,0.0,0.0,0.0,0.0,4192.87211740042,739.9186089530152,1621.8,1677.1840089864916,3948.0,2.0,8109.0,2027.25,2338.929865700694,4155.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,156,40,616.5988407941793,123.31976815883586,0.0,18.0,4.857142857142857,8.315218406203,69.14285714285715,1,2,1,2,4,0,0,0,0.0,5.666666666666667,6.8,0.0,0,0,0,0,0,0,0,0,0,0,64240,65160,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT Malformed,1
192.168.137.48-192.168.137.250-45081-1883-6,192.168.137.48,45081,192.168.137.250,1883,6,28/08/2023 11:46:22 AM,3315,1,3,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.3333333333333337,2.309401076758503,1206.6365007541478,1206.6365007541478,1105.0,1064.1705690348704,2123.0,0.0,0.0,0.0,0.0,0.0,0.0,1192.0,596.0,842.8712831743646,1192.0,0.0,0,0,0,0,20,96,301.65912518853696,904.9773755656108,0.0,4.0,0.8,1.7888543819998317,3.2,1,0,1,1,3,0,0,0,3.0,1.0,0.0,1.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,509,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT Malformed,1
192.168.137.48-192.168.137.250-36335-1883-6,192.168.137.48,36335,192.168.137.250,1883,6,28/08/2023 11:46:22 AM,8161,5,1,31.0,0.0,16.0,0.0,6.2,8.497058314499201,0.0,0.0,0.0,0.0,3798.554098762407,735.2040191153045,1632.2,909.7855241758906,2617.0,387.0,8161.0,2040.25,1369.1070995360444,3573.0,387.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,156,40,612.6700159294204,122.53400318588407,0.0,16.0,4.428571428571429,7.568732673685489,57.2857142857143,1,2,1,2,4,0,0,0,0.0,5.166666666666667,6.2,0.0,0,0,0,0,0,0,0,0,0,0,64240,65160,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT Malformed,1
192.168.137.48-192.168.137.250-36335-1883-6,192.168.137.48,36335,192.168.137.250,1883,6,28/08/2023 11:46:22 AM,2532,1,3,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.3333333333333337,2.309401076758503,1579.778830963665,1579.778830963665,844.0,1461.8508815881323,2532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,96,394.9447077409163,1184.8341232227488,0.0,4.0,0.8,1.7888543819998317,3.2,1,0,1,1,3,0,0,0,3.0,1.0,0.0,1.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,509,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT Malformed,1
192.168.137.48-192.168.137.250-51787-1883-6,192.168.137.48,51787,192.168.137.250,1883,6,28/08/2023 11:46:22 AM,11498,5,1,36.0,0.0,20.0,0.0,7.2,9.959919678390984,0.0,0.0,0.0,0.0,3130.979300747956,521.8298834579928,2299.6,2212.0136301569214,5361.0,5.0,11498.0,2874.5,2624.259451095997,6079.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,156,40,434.858236214994,86.97164724299878,0.0,20.0,5.142857142857143,8.85867882227313,78.47619047619047,1,2,1,2,4,0,0,0,0.0,6.0,7.2,0.0,0,0,0,0,0,0,0,0,0,0,64240,65160,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT Malformed,1
192.168.137.48-192.168.137.250-51787-1883-6,192.168.137.48,51787,192.168.137.250,1883,6,28/08/2023 11:46:22 AM,1489,1,3,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.3333333333333337,2.309401076758503,2686.366689053056,2686.366689053056,496.33333333333337,859.6745508233528,1489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,96,671.591672263264,2014.775016789792,0.0,4.0,0.8,1.7888543819998317,3.2,1,0,1,1,3,0,0,0,3.0,1.0,0.0,1.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,509,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT Malformed,1
192.168.137.48-192.168.137.250-33547-1883-6,192.168.137.48,33547,192.168.137.250,1883,6,28/08/2023 11:46:22 AM,7895,5,1,30.0,0.0,16.0,0.0,6.0,8.246211251235321,0.0,0.0,0.0,0.0,3799.873337555415,759.974667511083,1579.0,1776.2540640347595,4361.0,4.0,7895.0,1973.75,1800.7389918215983,4361.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,156,40,633.3122229259026,126.66244458518052,0.0,16.0,4.285714285714286,7.341986237031632,53.90476190476191,1,2,1,2,4,0,0,0,0.0,5.0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,65160,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT Malformed,1
192.168.137.48-192.168.137.250-33547-1883-6,192.168.137.48,33547,192.168.137.250,1883,6,28/08/2023 11:46:22 AM,3231,1,3,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.3333333333333337,2.309401076758503,1238.0068090374498,1238.0068090374498,1077.0,964.4775787958991,1861.0,0.0,0.0,0.0,0.0,0.0,0.0,1370.0,685.0,968.73629022557,1370.0,0.0,0,0,0,0,20,96,309.50170225936245,928.5051067780872,0.0,4.0,0.8,1.7888543819998317,3.2,1,0,1,1,3,0,0,0,3.0,1.0,0.0,1.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,509,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT Malformed,1
192.168.137.48-192.168.137.250-41527-1883-6,192.168.137.48,41527,192.168.137.250,1883,6,28/08/2023 11:46:22 AM,9265,5,1,711.0,0.0,695.0,0.0,142.2,309.1022484551026,0.0,0.0,0.0,0.0,76740.4209390178,647.5984889368591,1853.0,1748.0434777201624,4078.0,4.0,9265.0,2316.25,2595.712410238597,5001.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,156,40,539.6654074473826,107.93308148947652,0.0,695.0,101.57142857142856,261.74533242756985,68510.61904761904,1,2,1,2,4,0,0,0,0.0,118.5,142.2,0.0,0,0,0,0,0,0,0,0,0,0,64240,65160,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT Malformed,1
192.168.137.48-192.168.137.250-41527-1883-6,192.168.137.48,41527,192.168.137.250,1883,6,28/08/2023 11:46:22 AM,1742,1,3,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.3333333333333337,2.309401076758503,2296.211251435132,2296.211251435132,580.6666666666667,1005.744168928328,1742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,96,574.052812858783,1722.158438576349,0.0,4.0,0.8,1.7888543819998317,3.2,1,0,1,1,3,0,0,0,3.0,1.0,0.0,1.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,504,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT Malformed,1
